date,close,equity
2026-01-19,42.48,1000000.0
2026-01-20,42.64,1003766.4
2026-01-21,42.11,991290.23
2026-01-22,42.42,998587.57
2026-01-23,42.81,1007768.24
2026-01-26,42.85,1008709.77
2026-01-27,43.42,1022127.57
2026-01-28,44.23,1041195.0
2026-01-29,43.96,1034839.19
2026-01-30,43.28,1018831.98
2026-02-02,42.52,1000941.62
2026-02-03,43.37,1020950.59
2026-02-04,43.43,1022363.02
2026-02-05,42.86,1008945.23
2026-02-06,42.71,1005414.19
2026-02-09,43.88,1032956.04
2026-02-10,44.95,1058143.83
2026-02-11,46.07,1084508.6
2026-02-23,45.8,1078152.79
2026-02-24,47.28,1112991.98
2026-02-25,48.38,1138886.04
2026-02-26,48.42,1139827.57
2026-03-02,47.9,1127586.85
2026-03-03,46.81,1101928.24
2026-03-04,44.74,1053200.45
2026-03-05,45.85,1079329.77
2026-03-06,45.6,1073444.77
2026-03-09,43.38,1021186.04
2026-03-10,44.56,1021186.04
2026-03-11,46.46,1021186.04
2026-03-12,45.65,1021186.04
2026-03-13,45.3,1021186.04
2026-03-16,45.17,1021186.04
2026-03-17,45.68,1021186.04
2026-03-18,46.45,1021186.04
2026-03-19,45.54,1021186.04
2026-03-20,45.26,1021186.04
2026-03-23,44.1,1021186.04
2026-03-24,44.13,1021186.04
2026-03-25,45.08,1021186.04
2026-03-26,44.9,1021186.04
2026-03-27,44.5,1021186.04
2026-03-30,43.66,1021186.04
2026-03-31,42.82,1021186.04
2026-04-01,44.73,1021186.04
2026-04-02,43.82,1021186.04
2026-04-07,44.54,1021186.04
2026-04-08,46.95,1021186.04
2026-04-09,46.9,1020098.55
2026-04-10,47.94,1042718.49
2026-04-13,47.86,1040978.53
2026-04-14,49.33,1072951.06
2026-04-15,50.2,1091873.54
2026-04-16,50.7,1102748.54
2026-04-17,50.05,1088611.0
2026-04-20,49.2,1070123.54
2026-04-21,49.94,1086218.49
2026-04-22,50.25,1092961.02
2026-04-23,50.35,1095135.99
2026-04-24,52.7,1146248.54
